id	English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	phrase
60	absurdity	0	0	0	0	0	1	0	0	0	0	We laughed at the absurdity of being stuck in traffic on an empty highway.
61	abundance	0	1	1	0	1	1	1	0	0	1	An abundance of zucchini from the garden meant zucchini bread for weeks on end.
62	abundant	0	0	0	0	1	0	1	0	0	0	Wildflowers were abundant along the trail this spring after all the rain.
63	abuse	1	0	1	1	0	1	0	1	0	0	The hotline offers confidential support to anyone experiencing abuse at home.
66	abysmal	0	0	0	0	0	1	0	1	0	0	Reviews for the new restaurant downtown have been frankly abysmal.
67	abyss	0	0	0	1	0	1	0	1	0	0	Staring into the abyss of the canyon made her dizzy and exhilarated all at once.
68	academic	0	0	0	0	0	0	1	0	0	1	Her academic record was impressive enough to earn her a full scholarship.
69	academy	0	0	0	0	0	0	1	0	0	0	He enrolled at the police academy six months after graduating high school.
71	accelerate	0	1	0	0	0	0	0	0	0	0	Press the gas pedal gently to accelerate out of the curve.
76	acceptable	0	0	0	0	0	0	1	0	0	0	His apology was acceptable, though I could tell he was still annoyed with me.
77	acceptance	0	0	0	0	0	0	1	0	0	0	Her acceptance letter from Stanford arrived on a rainy Tuesday afternoon.
79	accessible	0	0	0	0	0	0	1	0	0	0	We need to make our website more accessible to users with screen readers.
82	accident	0	0	0	1	0	1	0	1	1	0	A minor accident on the bridge caused traffic delays for nearly two hours.
83	accidental	0	0	0	1	0	1	0	0	1	0	His accidental discovery of mold behind the wall led to a major renovation.
84	accidentally	0	0	0	0	0	0	0	0	1	0	I accidentally sent the email to the entire company instead of just my manager.
85	accolade	0	1	0	0	1	0	1	0	1	1	Winning the Best Director accolade was the highlight of her young career.
87	accommodation	0	0	0	0	0	0	1	0	0	0	The hotel offered us accommodation in a larger room when ours had a leak.
88	accompaniment	0	1	0	0	1	0	1	0	0	1	She played piano accompaniment for the choir every Sunday morning.
92	accomplish	0	0	0	0	1	0	1	0	0	0	There is so much we can accomplish together if we just stop arguing.
93	accomplished	0	0	0	0	1	0	1	0	0	0	She is an accomplished violinist who has performed in concert halls across Europe.
94	accomplishment	0	0	0	0	0	0	1	0	0	0	Finishing the marathon was the proudest accomplishment of his life so far.
95	accord	0	0	0	0	0	0	1	0	0	1	The two parties reached an accord after six grueling hours of negotiation.
98	account	0	0	0	0	0	0	0	0	0	1	Please log into your account to update your billing information.
99	accountability	0	0	0	0	0	0	1	0	0	1	Voters are demanding accountability from elected officials about the budget shortfall.
100	accountable	0	0	0	0	0	0	1	0	0	1	Everyone on this team will be held accountable for meeting the deadline.
101	accountant	0	0	0	0	0	0	0	0	0	1	My accountant called to remind me about the quarterly tax filing deadline.
103	accounts	0	0	0	0	0	0	0	0	0	1	She handles the books for three different downtown businesses without ever mixing up an account.
104	accredited	0	0	0	0	0	0	1	0	0	1	Make sure the online university you choose is properly accredited before enrolling.
107	accueil	0	0	0	0	0	0	1	0	0	0	The accueil at the bed and breakfast was warm and unhurried.
111	accurate	0	0	0	0	0	0	1	0	0	1	Their weather forecasts have been remarkably accurate for the past month.
112	accursed	1	0	0	1	0	1	0	1	0	0	He muttered about the accursed printer that jammed every other page.
113	accusation	1	0	1	0	0	1	0	0	0	0	The accusation took her completely by surprise; she had no idea what they meant.
114	accusative	0	0	0	0	0	1	0	0	0	0	Latin students often struggle to remember when to use the accusative case.
115	accused	1	0	0	1	0	1	0	0	0	0	He stood accused of misappropriating funds from the homeowners association.
116	accuser	1	0	0	1	0	1	0	0	0	0	Her accuser refused to look at her during the entire hearing.
117	accusing	1	0	0	1	0	1	0	0	0	0	She gave him an accusing look across the dinner table when he mentioned the money.
119	ace	0	0	0	0	0	0	1	0	0	0	He pulled an ace out of his sleeve and won the entire pot.
121	ache	0	0	0	0	0	1	0	1	0	0	A dull ache in her lower back kept her from sleeping properly all week.
122	achieve	0	0	0	0	1	0	1	0	0	1	If you stay focused, there is no limit to what you can achieve this year.
123	achievement	0	1	0	0	1	0	1	0	0	1	Climbing Kilimanjaro was an achievement she had dreamed about since college.
124	aching	0	0	0	0	0	1	0	1	0	0	His aching shoulders reminded him that helping his friend move had been a mistake.
125	acid	0	0	0	0	0	1	0	0	0	0	Spilled battery acid burned a hole through the carpet near the workbench.
129	acknowledgment	0	0	0	0	0	0	1	0	0	0	Even a brief acknowledgment of her hard work would have meant the world to her.
137	acquire	0	0	0	0	0	0	1	0	0	0	The company plans to acquire its main competitor before the end of the quarter.
138	acquiring	0	1	0	0	0	0	1	0	0	0	Acquiring fluency in a new language at forty turned out to be possible after all.
143	acrobat	0	0	0	1	1	0	1	0	0	1	An acrobat from the visiting circus gave a free workshop at the community center.
146	action	0	0	0	0	0	0	1	0	0	0	We need decisive action, not another committee that meets every other Thursday.
147	actionable	1	0	1	0	0	1	0	0	0	0	Her lawyer told her the boss's comments were actionable under workplace harassment laws.
151	actual	0	0	0	0	0	0	1	0	0	0	What is the actual cost of this trip after you factor in food and gas?
154	acuity	0	0	0	0	0	0	1	0	0	0	Her visual acuity made her an exceptional candidate for the air traffic controller program.
155	acumen	0	0	0	0	0	0	1	0	0	0	His business acumen was the main reason the startup survived its second year.
160	adapt	0	0	0	0	0	0	1	0	0	0	Plants in the desert have learned to adapt to almost no rainfall at all.
161	adaptable	0	0	0	0	0	0	1	0	0	0	We are looking for someone adaptable who can handle whatever comes up during the day.
165	adder	1	0	1	1	0	1	0	1	0	0	Hikers in the heath should watch for the adder, especially on warm afternoons.
166	addiction	0	0	0	0	0	1	0	0	0	0	Her addiction to scrolling through social media kept her up far too late.
172	addresses	0	1	0	0	0	0	1	0	0	0	He keeps a notebook with addresses of every friend he has ever made.
173	adept	0	0	0	0	0	0	1	0	0	0	She became surprisingly adept at sourdough baking during the long lockdown months.
174	adequacy	0	0	0	0	0	0	1	0	0	0	The inspector questioned the adequacy of the emergency exits in the older building.
179	adhering	0	0	0	0	0	0	0	0	0	1	Adhering to the recipe exactly is the secret to making good macarons.
183	adipose	0	0	0	0	0	1	0	0	0	0	The doctor explained that adipose tissue plays a more complex role than people realize.
190	adjudicate	0	0	0	1	0	1	0	0	0	0	It is the judge's job to adjudicate disputes between the two homeowners.
192	adjunct	0	0	0	0	0	0	1	0	0	0	She works as an adjunct professor at two different community colleges.
198	administrative	0	0	0	0	0	0	0	0	0	1	All administrative tasks must be completed before the end of business Friday.
199	admirable	0	0	0	0	1	0	1	0	0	1	His patience with the difficult students was nothing short of admirable.
200	admiral	0	0	0	0	0	0	1	0	0	1	Retired admiral Chen now spends most days fishing on the lake near his cabin.
202	admiration	0	0	0	0	1	0	1	0	0	1	I have nothing but admiration for nurses who work the overnight shift.
203	admire	0	0	0	0	0	0	1	0	0	1	I really admire the way you handled that awkward conversation with your mother.
204	admirer	0	0	0	0	0	0	1	0	0	0	She has a secret admirer who leaves wildflowers on her doorstep every Friday.
206	admissible	0	0	0	0	0	0	1	0	0	1	The judge ruled that the recording was admissible as evidence in the trial.
213	admonition	0	0	0	1	0	1	0	0	0	0	His grandmother's admonition about strangers stayed with him into adulthood.
220	adorable	0	0	0	0	1	0	1	0	0	0	Look at those puppies — they are absolutely adorable in the morning sunlight.
221	adoration	0	0	0	0	1	0	1	0	0	1	She gazed at her newborn with pure adoration for nearly an hour.
222	adore	0	1	0	0	1	0	1	0	0	1	I absolutely adore the way you laugh when you tell that old joke.
225	adrift	0	1	0	1	0	1	0	1	0	0	After her divorce, she felt adrift for nearly a year before finding her footing.
227	adulterated	0	0	0	0	0	1	0	0	0	0	The investigation revealed that the supplements had been adulterated with banned substances.
228	adultery	0	0	1	0	0	1	0	1	0	0	The novel deals with adultery in a way that feels surprisingly modern.
229	advance	0	1	0	1	1	0	1	0	1	0	Please book your tickets in advance to guarantee good seats for the concert.
230	advanced	0	0	0	0	0	0	1	0	0	0	Her advanced calculus course met three afternoons a week in the math building.
231	advancement	0	0	0	0	0	0	1	0	0	0	There is real opportunity for advancement at this firm if you work hard.
233	advantage	0	0	0	0	0	0	1	0	0	0	Knowing the local language gave her a clear advantage during the negotiations.
234	advantageous	0	0	0	0	0	0	1	0	0	0	It would be advantageous for both companies to share research and development costs.
235	advent	0	1	0	0	1	0	1	0	0	1	The advent of cheap solar panels has transformed energy markets across the country.
236	adventure	0	1	0	0	0	0	1	0	0	0	Backpacking through Patagonia turned out to be the adventure of a lifetime.
238	adventurous	0	0	0	0	0	0	1	0	0	0	Try something adventurous on the menu — the chef's specials are always interesting.
239	adversary	1	0	0	0	0	1	0	0	0	0	Her main adversary in the chess club turned out to be her closest friend.
240	adverse	1	0	1	1	0	1	0	1	0	0	Adverse weather conditions forced organizers to postpone the outdoor festival.
241	adversity	1	0	0	1	0	1	0	1	0	0	He overcame tremendous adversity to become the first in his family to attend college.
244	advice	0	0	0	0	0	0	0	0	0	1	Free legal advice is available at the public library every second Tuesday.
245	advisable	0	0	0	0	0	0	1	0	0	1	It is advisable to bring a heavy jacket if you are hiking above the tree line.
246	advise	0	0	0	0	0	0	1	0	0	1	I would advise you to read the contract carefully before signing anything.
247	advised	0	0	0	0	0	0	0	0	0	1	Travelers are advised to check road conditions before heading into the mountains.
249	adviser	0	0	0	0	0	0	1	0	0	1	Her financial adviser recommended she diversify her portfolio before retirement.
250	advocacy	1	1	0	0	1	0	1	0	0	1	Her advocacy for clean water has changed laws in three different states now.
251	advocate	0	0	0	0	0	0	0	0	0	1	She works as an advocate for tenants facing unfair eviction in the city.
259	aesthetic	0	0	0	0	0	0	1	0	0	0	The cafe's minimalist aesthetic appealed to younger customers immediately after opening.
260	aesthetics	0	0	0	0	1	0	1	0	0	0	He cared about the aesthetics of the website almost more than the functionality.
263	affable	0	0	0	0	0	0	1	0	0	0	Our new neighbor turned out to be affable and great with the kids.
266	affection	0	0	0	0	1	0	1	0	0	1	She showed her affection through everyday gestures rather than grand declarations.
270	affiliated	0	0	0	0	0	0	1	0	0	0	The clinic is affiliated with the university hospital across town.
273	affirm	0	0	0	0	0	0	1	0	0	1	I want to affirm that we value every employee at this company.
274	affirmation	0	0	0	0	0	0	1	0	0	0	A simple affirmation from her mentor gave her the courage to apply for the job.
275	affirmative	0	0	0	0	0	0	1	0	0	0	When asked if she would take the job, she gave an enthusiastic affirmative response.
276	affirmatively	0	0	0	0	0	0	1	0	0	1	He nodded affirmatively when the waiter offered to refill his coffee.
278	afflict	0	0	0	1	0	1	0	1	0	0	Migraines have afflicted her since she was a teenager, and nothing seems to help.
279	afflicted	0	0	0	0	0	1	0	0	0	0	Several members of the cast were afflicted with food poisoning after opening night.
280	affliction	0	0	1	1	0	1	0	1	0	0	His chronic back affliction kept him from playing tennis for nearly two years.
281	affluence	0	0	0	0	1	0	1	0	0	0	The neighborhood's affluence was obvious from the manicured lawns and luxury cars.
282	affluent	0	0	0	0	0	0	1	0	0	0	She grew up in an affluent suburb but rarely talked about it with her friends.
283	afford	0	0	0	0	0	0	1	0	0	0	I cannot afford to take another unpaid week off this month, unfortunately.
284	affront	1	0	1	1	0	1	0	1	1	0	His comment about her cooking was a real affront to her grandmother's recipes.
289	afraid	0	0	0	1	0	1	0	0	0	0	I am afraid of heights, so the glass elevator was a real challenge for me.
292	aftermath	1	0	1	1	0	1	0	1	0	0	The aftermath of the storm left thousands without power for nearly a week.
294	aftertaste	0	0	0	0	0	1	0	0	0	0	The wine had a bitter aftertaste that lingered far longer than I expected.
296	aga	0	0	0	1	0	0	1	0	0	1	She bought an old aga stove and uses it for almost every winter meal.
303	aggravated	1	0	0	0	0	1	0	0	0	0	He felt aggravated by the constant interruptions during his morning meeting.
304	aggravating	1	0	0	0	0	1	0	1	0	0	The most aggravating part of the commute is the unpredictable train schedule.
305	aggravation	1	0	1	0	0	1	0	0	0	0	After hours of aggravation with the airline, she finally rebooked her flight.
308	aggression	1	0	0	1	0	1	0	0	0	0	The dog's aggression toward strangers worried her enough to call a trainer.
309	aggressive	1	0	0	1	0	1	0	0	0	0	Her aggressive negotiation style won her clients but made her team nervous.
310	aggressor	1	0	0	1	0	1	0	0	0	0	Witnesses agreed that the smaller man had clearly been the aggressor in the fight.
311	aghast	0	0	1	1	0	1	0	0	1	0	She stood aghast at the mess her teenagers had left in the living room.
312	agile	0	0	0	0	0	0	1	0	0	0	Despite his age, my uncle is still surprisingly agile on the basketball court.
313	agility	0	0	0	0	0	0	1	0	0	0	Her agility on the soccer field made her the obvious choice for striker.
314	agitated	1	0	0	0	0	1	0	0	0	0	He grew agitated whenever the conversation turned to his ex-wife.
315	agitation	1	0	0	0	0	1	0	0	0	0	There was visible agitation in her hands as she tried to read the letter.
318	agonizing	0	0	0	1	0	1	0	0	0	0	The wait for the test results was absolutely agonizing for the entire family.
319	agony	1	0	0	1	0	1	0	1	0	0	He cried out in agony when the paramedics tried to move his broken leg.
320	agree	0	0	0	0	0	0	1	0	0	0	Can we agree to disagree about pineapple on pizza and just enjoy lunch?
321	agreeable	0	0	0	0	0	0	1	0	0	1	She found her new coworker remarkably agreeable, even on stressful Mondays.
322	agreed	0	0	0	0	0	0	1	0	0	1	We agreed to meet at the coffee shop near the library at noon.
323	agreeing	0	0	0	0	0	0	1	0	0	1	After hours of debate, the committee finally found themselves agreeing on the proposal.
324	agreement	0	0	0	0	0	0	1	0	0	1	The two countries reached a trade agreement after eighteen months of talks.
326	agriculture	0	0	0	0	0	0	1	0	0	0	Sustainable agriculture has become the focus of several research grants this year.
327	aground	0	0	0	0	0	1	0	0	0	0	The freighter ran aground on a sandbar just outside the harbor entrance.
329	ahead	0	0	0	0	0	0	1	0	0	0	Plan ahead if you want to avoid the worst of the holiday traffic.
330	aid	0	0	0	0	0	0	1	0	0	0	Foreign aid arrived within days after the earthquake destroyed the coastal villages.
331	aiding	0	0	0	0	0	0	1	0	0	0	She was charged with aiding the escape, though her lawyer disputes the evidence.
332	ail	0	0	0	0	0	1	0	1	0	0	Whatever ails him, he refuses to see a doctor about it.
333	ailing	0	0	0	1	0	1	0	1	0	0	Her ailing father needed someone to drive him to medical appointments twice a week.
336	aimless	0	0	0	0	0	1	0	0	0	0	After graduation, he spent a few aimless months crashing on friends' couches.
343	airport	0	1	0	0	0	0	0	0	0	0	Crowds at the airport were lighter than usual for a Friday afternoon in July.
344	airs	0	0	1	0	0	1	0	0	0	0	She puts on airs whenever her wealthy cousins come to visit.
349	akin	0	0	0	0	0	0	0	0	0	1	The flavor is something akin to lemon, but with a slight smoky finish.
350	alabaster	0	0	0	0	0	0	1	0	0	0	Her alabaster skin made everyone assume she avoided the sun completely.
351	alarm	0	0	0	1	0	1	0	0	1	0	The smoke alarm went off at three in the morning because of burnt toast.
352	alarming	0	0	0	1	0	1	0	0	1	0	Reports of alarming chemical levels in the river prompted an immediate investigation.
353	alb	0	0	0	0	0	0	0	0	0	1	The priest put on his alb before the morning service began.
357	alcoholism	1	0	1	1	0	1	0	1	0	0	His alcoholism eventually cost him his marriage and his job at the law firm.
360	alertness	0	1	0	1	0	0	1	0	1	0	Mental alertness during the test improves dramatically after a good night's sleep.
361	alerts	0	1	0	1	0	0	0	0	1	0	Push alerts on her phone kept buzzing throughout the entire dinner with her family.
367	alien	0	0	1	1	0	1	0	0	0	0	The whole concept of working from home felt alien to him at first.
368	alienate	1	0	1	0	0	1	0	0	0	0	She did not want to alienate her childhood friend over a political disagreement.
369	alienated	0	0	0	0	0	1	0	1	0	0	He felt completely alienated at the company retreat full of strangers.
370	alienation	1	0	1	1	0	1	0	1	0	0	Years of alienation from his family ended with one unexpected phone call.
375	alimentation	0	0	0	0	0	0	1	0	0	0	Proper alimentation during recovery is just as important as physical therapy.
376	alimony	0	0	0	0	0	1	0	0	0	0	His monthly alimony payments left him struggling to cover rent on his new apartment.
378	alive	0	1	0	0	1	0	1	0	0	1	I have not felt this alive since I quit that miserable corporate job last year.
381	allay	0	0	0	0	0	0	1	0	0	0	Her doctor's calm explanation helped allay most of her worries about the procedure.
382	allegation	1	0	0	0	0	1	0	0	0	0	The allegation against the senator dominated headlines for nearly two weeks.
383	allege	0	0	0	0	0	1	0	0	0	0	Prosecutors allege that the company knowingly sold defective products for years.
385	allegiance	0	0	0	0	0	0	1	0	0	1	His allegiance to the team never wavered, even during the worst losing streak.
388	allegro	0	0	0	0	0	0	1	0	0	0	The third movement begins allegro and barely lets the audience catch its breath.
389	alleviate	0	0	0	0	0	0	1	0	0	0	A simple stretching routine helped alleviate his chronic neck pain considerably.
390	alleviation	0	0	0	0	0	0	1	0	0	0	Pain alleviation was the main goal of the new physical therapy program.
392	alliance	0	0	0	0	0	0	0	0	0	1	The unlikely alliance between the two rival shops actually saved both businesses.
393	allied	0	0	0	0	0	0	1	0	0	1	She allied herself with the parents fighting against the school budget cuts.
399	allowable	0	0	0	0	0	0	1	0	0	0	The new lease lists exactly which renovations are allowable without written permission.
403	allure	0	1	0	0	1	0	1	0	1	0	The allure of working remotely from a beach faded after the third bad WiFi connection.
404	alluring	0	0	0	0	0	0	1	0	0	0	Something about the alluring smell of fresh popcorn pulled him into the lobby.
407	ally	0	0	0	0	0	0	1	0	0	1	Finding an ally in marketing made the proposal much easier to push through.
409	almighty	0	0	0	0	0	0	1	0	0	0	He gave the door an almighty kick and finally got it open.
411	aloha	0	1	0	0	1	0	1	0	0	0	"Aloha!" the flight attendant said as we stepped onto the warm Honolulu tarmac.
413	aloof	0	0	0	0	0	1	0	0	0	0	She seemed aloof at first, but turned out to be incredibly funny once you got to know her.
420	altercation	1	0	0	0	0	1	0	0	0	0	A brief altercation in the parking lot ended with both drivers exchanging insurance information.
433	amaze	0	0	0	0	0	0	0	0	1	0	It never fails to amaze me how quickly children pick up new languages.
435	amazingly	0	0	0	0	1	0	1	0	1	0	Amazingly, the old laptop still booted up after sitting in the closet for years.
436	ambassador	0	0	0	0	0	0	1	0	0	1	The new ambassador presented her credentials at a quiet ceremony last Tuesday.
440	ambiguous	0	0	0	0	0	1	0	0	0	0	His response was deliberately ambiguous, leaving everyone guessing about his real intentions.
442	ambition	0	1	0	0	1	0	1	0	0	1	Her ambition to open a bookstore finally became reality after fifteen years of saving.
444	ambulance	0	0	0	1	0	0	0	0	0	1	We called an ambulance the moment grandma started complaining about chest pains.
445	ambush	1	0	0	1	0	1	0	0	1	0	The defenders walked straight into an ambush set up just before the bridge.
446	ameliorate	0	0	0	0	0	0	1	0	0	0	Steady rain over the weekend should ameliorate the drought conditions affecting nearby farms.
447	amen	0	0	0	0	1	0	1	0	0	1	"Amen," she whispered after the brief prayer at the end of dinner.
448	amenable	0	0	0	0	0	0	1	0	0	0	I would be amenable to splitting the rent differently if you cover the utilities.
449	amend	0	0	0	0	0	0	1	0	0	0	The committee voted to amend the bylaws to allow online meetings.
451	amends	0	0	0	0	0	0	1	0	0	0	He showed up with flowers, hoping to make amends for forgetting their anniversary.
452	amenity	0	0	0	0	0	0	1	0	0	0	Free parking is the one amenity I will not give up at any apartment I rent.
454	amiable	0	0	0	0	0	0	1	0	0	0	Our amiable host kept refilling our wine glasses without us even noticing.
455	amicable	0	0	0	0	1	0	1	0	0	0	The divorce was surprisingly amicable, mostly because there were no kids involved.
458	ammonia	0	0	1	0	0	0	0	0	0	0	The ammonia smell from the cleaning supplies stung her eyes immediately.
460	amnesia	0	0	0	0	0	1	0	0	0	0	Soap operas love amnesia plots even though real cases are extraordinarily rare.
461	amnesty	0	0	0	0	1	0	1	0	0	0	Several countries declared amnesty for tax evaders willing to pay back what they owed.
463	amortization	0	0	0	0	0	0	0	0	0	1	The amortization schedule shows you exactly how much interest you will pay each month.
465	amour	0	1	0	0	1	0	1	0	0	1	Their summer amour ended the moment classes started up again in September.
467	amphetamines	0	0	1	0	0	1	0	0	0	0	Doctors warned that the prescribed amphetamines could affect his sleep patterns.
477	amuse	0	0	0	0	1	0	1	0	0	0	The kids tried to amuse themselves with sidewalk chalk while their parents talked.
478	amused	0	0	0	0	1	0	1	0	0	0	Grandpa watched the puppy chase its tail, looking thoroughly amused by the whole thing.
479	amusement	0	0	0	0	1	0	1	0	0	0	To my amusement, the cat had figured out how to open the kitchen cabinet.
480	amusing	0	0	0	0	1	0	1	0	0	0	Her stories about traveling through Vietnam were genuinely amusing, even the disastrous parts.
482	anaconda	0	0	1	1	0	1	0	0	0	0	Visitors crowded around the glass enclosure to see the new anaconda at the zoo.
485	anal	0	0	0	0	0	1	0	0	0	0	The anal exam is uncomfortable but essential for early detection of certain cancers.
491	analyst	0	1	0	0	0	0	1	0	0	1	A senior analyst at the bank predicted interest rates would stay flat through autumn.
495	anarchism	1	0	0	1	0	1	0	0	0	0	The professor traced the roots of anarchism back to several nineteenth-century thinkers.
496	anarchist	1	0	0	1	0	1	0	0	0	0	An anarchist collective ran the bookshop on the corner for nearly two decades.
497	anarchy	1	0	0	1	0	1	0	0	0	0	Without proper rules, the playground quickly descended into anarchy after lunch.
499	anathema	1	0	1	1	0	1	0	1	0	0	The new policy is anathema to anyone who values privacy in the workplace.
503	ancestral	0	0	0	0	0	0	0	0	0	1	We visited the ancestral home of my mother's family during our trip to Scotland.
505	anchor	0	0	0	0	0	0	1	0	0	0	The boat dropped anchor in a quiet cove just before sunset.
506	anchorage	0	0	0	0	0	0	1	1	0	0	The marina offers safe anchorage for vessels up to forty feet long.
507	ancient	0	0	0	0	0	1	0	0	0	0	This ancient olive tree has supposedly stood here since Roman times.
512	angel	0	1	0	0	1	0	1	0	1	1	"You are an angel," she said when he showed up with coffee for everyone.
513	angelic	0	0	0	0	1	0	1	0	0	1	Her angelic singing voice convinced the choir director to give her a solo right away.
514	anger	1	0	0	0	0	1	0	0	0	0	His anger at the umpire's call earned him an immediate ejection from the game.
515	angina	0	0	0	1	0	1	0	0	0	0	Mom's angina has been getting worse, so the cardiologist scheduled more tests.
518	angling	0	1	0	0	0	1	0	0	0	0	He has been angling for that promotion ever since the senior position opened up.
519	angry	1	0	1	0	0	1	0	0	0	0	Why is everyone so angry about a parking lot that nobody even uses?
520	anguish	1	0	0	1	0	1	0	1	0	0	Years later, she still spoke about the anguish of losing her mother so suddenly.
524	animate	0	0	0	0	0	0	1	0	0	0	A few simple props can animate any preschool storytime session in surprising ways.
525	animated	0	0	0	0	1	0	1	0	0	0	The kids were animated and giggly after their first snowball fight of the year.
527	animosity	1	0	1	1	0	1	0	1	0	0	Some old animosity between the two families remains, though nobody quite remembers why.
528	animus	1	0	0	0	0	1	0	0	0	0	His animus toward his former boss colored every conversation about work.
534	annihilate	1	0	0	1	0	1	0	0	0	0	The new chess engine will annihilate even grandmasters in fewer than thirty moves.
535	annihilated	1	0	0	1	0	1	0	1	0	0	Their team got annihilated in the first round of the tournament.
536	annihilation	1	0	0	1	0	1	0	1	0	0	Cold War literature often dealt with the threat of nuclear annihilation.
540	announcement	0	1	0	0	0	0	0	0	0	0	Big announcement at the all-hands meeting on Thursday — be there if you can.
541	annoy	1	0	1	0	0	1	0	0	0	0	Loud chewing in meetings is guaranteed to annoy at least three of my coworkers.
542	annoyance	1	0	1	0	0	1	0	0	0	0	The constant beeping from the smoke detector was a major annoyance all morning.
543	annoying	1	0	0	0	0	1	0	0	0	0	Could you stop tapping your pen? It is incredibly annoying.
545	annul	0	0	0	0	0	1	0	0	0	0	A judge can annul a marriage if it is proven to have been entered fraudulently.
547	annulment	0	0	0	0	0	1	0	1	0	0	She filed for annulment three weeks after the wedding nobody had wanted.
551	anomaly	0	0	0	1	0	1	0	0	1	0	The temperature spike is an anomaly the engineers cannot yet explain.
553	anonymous	0	0	0	0	0	1	0	0	0	0	An anonymous donor gave the children's hospital nearly half a million dollars.
555	answerable	0	0	0	0	0	0	0	0	0	1	Anyone working with public funds is answerable to the taxpayers ultimately.
558	antagonism	1	0	0	0	0	1	0	0	0	0	The antagonism between the two columnists made for entertaining Sunday reading.
559	antagonist	1	0	0	0	0	1	0	0	0	0	Every great novel needs a memorable antagonist to give the hero something to push against.
560	antagonistic	1	0	1	0	0	1	0	0	0	0	His antagonistic attitude toward the new manager made meetings unpleasant for everyone.
568	anthrax	0	0	1	1	0	1	0	1	0	0	Lab workers handling anthrax samples follow extremely strict safety protocols.
571	antibiotics	0	0	0	0	0	0	1	0	0	0	The doctor prescribed antibiotics for what turned out to be a stubborn ear infection.
